mnras_row,mnras_ra,mnras_dec,tile_id,matched,sep_arcsec,src_id,gate_result,gate_failures,eliminating_stage,rejection_reason
4002,34.230354,62.014618,tile_RA33.615_DECp61.667,True,0.100,tile_RA33.615_DECp61.667:7441,GATE_PASS,,S4S,elongation=1.232>1.1;circularity=0.401<0.8
4783,329.909550,42.542904,tile_RA330.137_DECp42.704,True,0.104,tile_RA330.137_DECp42.704:5188,GATE_FAIL,ELONG<1.3,,
4732,329.489900,44.186474,tile_RA330.137_DECp43.704,False,619.32,,NO_MATCH,,,"circle_cut (dist_from_center=40.24' pre_sep=0.34"")"
4096,330.550750,61.326748,tile_RA331.160_DECp61.703,True,0.268,tile_RA331.160_DECp61.703:2090,GATE_PASS,,S0M,spread_snr=20.4>5.0
4466,332.388900,53.924015,tile_RA332.117_DECp53.720,True,0.857,tile_RA332.117_DECp53.720:19435,GATE_PASS,,S4S,profile_diff=0.0519>0.05;elongation=1.176>1.1;circularity=0.691<0.8
4843,332.895900,42.228960,tile_RA332.858_DECp42.704,True,0.455,tile_RA332.858_DECp42.704:340,GATE_FAIL,SNR_WIN>30;ELONG<1.3;SPREAD>-0.002,,
3866,333.359560,67.449100,tile_RA334.116_DECp67.752,True,0.699,tile_RA334.116_DECp67.752:3401,GATE_FAIL,FLAGS==0,,
4879,336.597020,42.535778,tile_RA336.361_DECp42.750,False,11.78,,NO_MATCH,,,"not_detected (nearest_pre=11.8"")"
4956,339.585750,41.282270,tile_RA339.085_DECp41.750,False,358.60,,NO_MATCH,,,"circle_cut (dist_from_center=35.97' pre_sep=0.38"")"
4333,34.194984,54.434013,tile_RA34.376_DECp54.701,True,0.419,tile_RA34.376_DECp54.701:4446,GATE_FAIL,SPREAD>-0.002,,
4711,339.612180,49.299490,tile_RA340.041_DECp49.762,False,147.72,,NO_MATCH,,,"circle_cut (dist_from_center=32.39' pre_sep=0.69"")"
4201,339.957180,61.681217,tile_RA340.364_DECp61.766,True,0.268,tile_RA340.364_DECp61.766:4385,GATE_FAIL,SNR_WIN>30;ELONG<1.3;SPREAD>-0.002,,
4221,340.421400,61.388298,tile_RA340.364_DECp61.766,True,0.211,tile_RA340.364_DECp61.766:1384,GATE_PASS,,S4S,profile_diff=0.0514>0.05;elongation=1.171>1.1
3460,343.326840,80.252060,tile_RA340.729_DECp79.781,False,554.13,,NO_MATCH,,,"circle_cut (dist_from_center=39.10' pre_sep=0.38"")"
3656,339.162050,74.430390,tile_RA341.009_DECp74.761,False,338.97,,NO_MATCH,,,"circle_cut (dist_from_center=35.49' pre_sep=0.68"")"
