src_id,ra,dec,has_gsc_match,best_sep_arcsec,gsc2_id,source_chunk
tile_RA148.332_DECp48.333:481,147.7538323742,48.0720241012,1,4.115580,N96L004601,stage_S4S_SHAPE.csv
tile_RA152.296_DECp47.274:941,151.8775720784,47.2042325314,0,,,stage_S4S_SHAPE.csv
tile_RA152.296_DECp47.274:949,151.8819518147,47.2013368597,0,,,stage_S4S_SHAPE.csv
tile_RA153.769_DECp47.274:261,154.0068294888,46.934470762,1,4.585188,N99G008682,stage_S4S_SHAPE.csv
tile_RA155.243_DECp46.274:300,155.648647069,46.0161362821,0,,,stage_S4S_SHAPE.csv
tile_RA155.243_DECp48.274:996,155.0501774907,48.6333395178,0,,,stage_S4S_SHAPE.csv
tile_RA155.243_DECp49.274:167,154.9881393283,48.8712099664,0,,,stage_S4S_SHAPE.csv
tile_RA27.764_DECp49.722:985,27.3973779116,49.3486459858,0,,,stage_S4S_SHAPE.csv
tile_RA3.390_DECp48.807:2735,3.1001178794,48.5875855598,0,,,stage_S4S_SHAPE.csv
tile_RA303.213_DECp55.457:10452,302.9060961242,55.8221952474,0,,,stage_S4S_SHAPE.csv
tile_RA306.653_DECp55.457:9569,306.7709080941,55.5682460494,1,4.282433,N11P034041,stage_S4S_SHAPE.csv
tile_RA314.550_DECp55.561:6981,315.2899484064,55.8010982756,0,,,stage_S4S_SHAPE.csv
tile_RA316.274_DECp53.561:2901,317.103795453,53.590336388,0,,,stage_S4S_SHAPE.csv
tile_RA34.866_DECp47.660:6684,35.5199845698,47.8174499314,1,4.936192,NBZR005285,stage_S4S_SHAPE.csv
tile_RA34.866_DECp49.660:4723,35.4087135487,49.5637853474,0,,,stage_S4S_SHAPE.csv
tile_RA346.990_DECp54.771:3524,346.335553185,54.4459843407,0,,,stage_S4S_SHAPE.csv
tile_RA44.983_DECp46.583:7768,44.4911437721,46.8108747682,1,4.544989,NCJG041350,stage_S4S_SHAPE.csv
tile_RA46.495_DECp47.583:8584,45.928874597,47.8558340062,0,,,stage_S4S_SHAPE.csv
tile_RA60.639_DECp49.394:4564,60.6774237856,49.2815476152,0,,,stage_S4S_SHAPE.csv
tile_RA69.197_DECp47.285:6717,68.8151558492,47.4595766722,0,,,stage_S4S_SHAPE.csv
tile_RA69.197_DECp48.285:6819,69.3794753627,48.3070967811,0,,,stage_S4S_SHAPE.csv
tile_RA7.471_DECp48.796:2573,7.7878999305,48.5676519788,0,,,stage_S4S_SHAPE.csv
tile_RA79.236_DECp47.170:8230,78.531096819,47.2973539171,0,,,stage_S4S_SHAPE.csv
tile_RA8.989_DECp47.796:3881,8.3340466758,47.7674593966,0,,,stage_S4S_SHAPE.csv
tile_RA8.989_DECp47.796:4149,9.4620686997,47.8170079195,0,,,stage_S4S_SHAPE.csv
tile_RA8.989_DECp49.796:3342,8.6976508312,49.6146371766,1,4.918899,NAIG014296,stage_S4S_SHAPE.csv
tile_RA84.760_DECp48.051:314,84.8198838,47.5762369368,1,4.807508,NAO9004507,stage_S4S_SHAPE.csv
tile_RA86.256_DECp48.051:4981,85.5968904357,47.9678467078,0,,,stage_S4S_SHAPE.csv
tile_RA96.249_DECp49.931:2798,95.8436909535,49.8648668788,0,,,stage_S4S_SHAPE.csv
tile_RA97.742_DECp46.931:5089,98.2678661265,47.1052103126,0,,,stage_S4S_SHAPE.csv
tile_RA97.742_DECp46.931:5960,98.1541736471,46.9796560495,0,,,stage_S4S_SHAPE.csv
tile_RA99.234_DECp47.931:3784,99.0847508025,48.2835043685,1,4.355904,N8P4019561,stage_S4S_SHAPE.csv
