src_id,tile_id,object_id,ra,dec,plate_id
tile_RA1.865_DECp30.807:785,tile_RA1.865_DECp30.807,785,1.6730669913,30.5628183591,XE292
tile_RA1.865_DECp30.807:1725,tile_RA1.865_DECp30.807,1725,2.3122871084,30.7515960059,XE292
tile_RA1.865_DECp30.807:2025,tile_RA1.865_DECp30.807,2025,2.0698077568,31.1363764017,XE292
tile_RA1.865_DECp32.807:337,tile_RA1.865_DECp32.807,337,1.5156685641,32.4078315663,XE292
tile_RA1.865_DECp32.807:378,tile_RA1.865_DECp32.807,378,1.6178871964,32.4162718591,XE292
tile_RA1.865_DECp32.807:391,tile_RA1.865_DECp32.807,391,1.6291906909,32.4190813462,XE292
tile_RA1.865_DECp32.807:521,tile_RA1.865_DECp32.807,521,1.7031178672,32.4478392098,XE292
tile_RA1.865_DECp32.807:1206,tile_RA1.865_DECp32.807,1206,1.3360772362,32.6275209492,XE292
tile_RA1.867_DECp34.807:2185,tile_RA1.867_DECp34.807,2185,1.8120810535,35.17699203,XE240
tile_RA1.867_DECp34.807:2460,tile_RA1.867_DECp34.807,2460,2.3281583748,34.7591687193,XE240
tile_RA1.867_DECp34.807:2671,tile_RA1.867_DECp34.807,2671,1.7671086655,34.711678741,XE240
tile_RA1.867_DECp34.807:3762,tile_RA1.867_DECp34.807,3762,1.7915216205,34.9142543731,XE240
tile_RA1.867_DECp35.807:1664,tile_RA1.867_DECp35.807,1664,1.7288241671,36.2873430822,XE240
tile_RA1.867_DECp36.807:791,tile_RA1.867_DECp36.807,791,1.735813459,36.4985570259,XE240
tile_RA1.867_DECp36.807:3006,tile_RA1.867_DECp36.807,3006,1.990382795,37.0703874298,XE240
tile_RA1.867_DECp37.807:4472,tile_RA1.867_DECp37.807,4472,1.5989807447,37.7995799375,XE240
tile_RA1.867_DECp38.807:1565,tile_RA1.867_DECp38.807,1565,1.6726583304,38.6138662473,XE240
tile_RA1.869_DECp40.807:1301,tile_RA1.869_DECp40.807,1301,2.3975477278,40.5873111834,XE192
tile_RA1.869_DECp41.807:1306,tile_RA1.869_DECp41.807,1306,1.6044760901,41.5640280778,XE192
tile_RA1.869_DECp43.807:2441,tile_RA1.869_DECp43.807,2441,1.4941831988,43.6821755156,XE192
tile_RA1.869_DECp43.807:3191,tile_RA1.869_DECp43.807,3191,1.6725123763,43.7953579173,XE192
tile_RA1.869_DECp44.807:3075,tile_RA1.869_DECp44.807,3075,1.8337930859,44.7419739593,XE192
tile_RA1.872_DECp48.807:2389,tile_RA1.872_DECp48.807,2389,1.7222196408,48.5543790438,XE149
tile_RA1.872_DECp49.807:3657,tile_RA1.872_DECp49.807,3657,1.238693851,49.6523206701,XE149
tile_RA1.872_DECp50.807:7244,tile_RA1.872_DECp50.807,7244,2.2175025861,50.9061493166,XE149
tile_RA1.875_DECp53.807:4950,tile_RA1.875_DECp53.807,4950,2.0657622359,53.6135637074,XE111
tile_RA1.875_DECp55.807:10461,tile_RA1.875_DECp55.807,10461,2.0209805473,55.900273747,XE111
tile_RA1.880_DECp58.807:3439,tile_RA1.880_DECp58.807,3439,2.3665811351,58.4961922924,XE078
tile_RA1.880_DECp58.807:6465,tile_RA1.880_DECp58.807,6465,2.5271980889,58.6746796978,XE078
tile_RA1.880_DECp58.807:7401,tile_RA1.880_DECp58.807,7401,2.2625389574,58.7325152563,XE078
tile_RA1.880_DECp58.807:8788,tile_RA1.880_DECp58.807,8788,2.4396276005,58.8162675278,XE078
tile_RA1.880_DECp58.807:9609,tile_RA1.880_DECp58.807,9609,2.8364552549,58.8663528154,XE078
tile_RA1.880_DECp58.807:14779,tile_RA1.880_DECp58.807,14779,1.3432161466,59.1103437808,XE078
tile_RA1.880_DECp59.807:9028,tile_RA1.880_DECp59.807,9028,2.6897688878,59.8218335809,XE078
tile_RA1.899_DECp70.807:852,tile_RA1.899_DECp70.807,852,1.1151001545,70.4133600314,XE028
tile_RA1.899_DECp74.807:9506,tile_RA1.899_DECp74.807,9506,2.6325572104,75.2525268449,XE028
tile_RA1.923_DECp76.807:5207,tile_RA1.923_DECp76.807,5207,0.9474317627,76.9951910179,XE012
tile_RA1.923_DECp78.807:342,tile_RA1.923_DECp78.807,342,2.9189909578,78.3556942006,XE012
tile_RA1.923_DECp79.807:3941,tile_RA1.923_DECp79.807,3941,3.6498817682,80.04200193,XE012
tile_RA1.923_DECp80.807:237,tile_RA1.923_DECp80.807,237,1.1408830105,80.3499684184,XE012
tile_RA10.002_DECp18.801:1189,tile_RA10.002_DECp18.801,1189,10.3268749932,19.1772541867,XE405
tile_RA10.002_DECp18.801:2189,tile_RA10.002_DECp18.801,2189,10.450379527,18.8042666032,XE405
tile_RA10.188_DECp35.799:809,tile_RA10.188_DECp35.799,809,9.7192110951,35.506212171,XE241
tile_RA10.188_DECp35.799:1609,tile_RA10.188_DECp35.799,1609,10.1756336899,35.6865962406,XE241
tile_RA10.188_DECp35.799:2867,tile_RA10.188_DECp35.799,2867,9.7666313162,36.0982694457,XE241
tile_RA10.188_DECp36.799:1356,tile_RA10.188_DECp36.799,1356,9.8691020687,36.6102103031,XE241
tile_RA10.188_DECp37.799:3684,tile_RA10.188_DECp37.799,3684,9.8579239257,37.9679490577,XE241
tile_RA10.235_DECp66.783:3473,tile_RA10.235_DECp66.783,3473,10.5429045909,66.6109469582,XE051
tile_RA10.235_DECp66.783:6817,tile_RA10.235_DECp66.783,6817,9.8515887427,66.8743917654,XE051
tile_RA10.507_DECp46.796:2925,tile_RA10.507_DECp46.796,2925,10.006917083,46.69157437,XE150
tile_RA10.507_DECp46.796:4341,tile_RA10.507_DECp46.796,4341,10.8759154235,46.8736975678,XE150
tile_RA10.507_DECp47.796:6753,tile_RA10.507_DECp47.796,6753,10.5466929472,48.199041258,XE150
tile_RA10.507_DECp49.796:4637,tile_RA10.507_DECp49.796,4637,10.4172867776,49.7672231596,XE150
tile_RA10.507_DECp50.796:2142,tile_RA10.507_DECp50.796,2142,10.1582871303,50.4780244093,XE150
tile_RA10.507_DECp50.796:6219,tile_RA10.507_DECp50.796,6219,10.6670453134,50.8247587244,XE150
tile_RA10.608_DECp24.800:738,tile_RA10.608_DECp24.800,738,10.8427468018,24.5565322519,XE349
tile_RA10.608_DECp24.800:806,tile_RA10.608_DECp24.800,806,10.8646458372,24.5814207859,XE349
tile_RA10.608_DECp24.800:1005,tile_RA10.608_DECp24.800,1005,11.104429829,24.6510144708,XE349
tile_RA10.608_DECp24.800:1111,tile_RA10.608_DECp24.800,1111,11.0986694892,24.6816955012,XE349
tile_RA10.608_DECp24.800:1740,tile_RA10.608_DECp24.800,1740,10.2317339363,25.1469603928,XE349
tile_RA10.828_DECp42.798:2113,tile_RA10.828_DECp42.798,2113,10.704593588,42.658853877,XE193
tile_RA10.847_DECp30.798:1817,tile_RA10.847_DECp30.798,1817,11.4117581192,30.6863756525,XE293
tile_RA10.847_DECp30.798:2057,tile_RA10.847_DECp30.798,2057,10.4158124563,31.0962103237,XE293
