tile_id,tile_path,plate_id,rows_in_tile_filtered_csv,rows_emitted_to_S0,skipped_delta,notes
tile_RA1.857_DECp0.807,data/tiles/tile_RA1.857_DECp0.807,XE584,3,3,0,
tile_RA1.857_DECp1.807,data/tiles/tile_RA1.857_DECp1.807,XE584,2,2,0,
tile_RA1.857_DECp2.807,data/tiles/tile_RA1.857_DECp2.807,XE584,3,3,0,
tile_RA1.860_DECp10.807,data/tiles/tile_RA1.860_DECp10.807,XE464,0,0,0,missing survivors csv
tile_RA1.860_DECp11.807,data/tiles/tile_RA1.860_DECp11.807,XE464,3,3,0,
tile_RA1.860_DECp12.807,data/tiles/tile_RA1.860_DECp12.807,XE464,0,0,0,missing survivors csv
tile_RA1.860_DECp13.807,data/tiles/tile_RA1.860_DECp13.807,XE464,0,0,0,missing survivors csv
tile_RA1.860_DECp14.807,data/tiles/tile_RA1.860_DECp14.807,XE464,1,1,0,
tile_RA1.861_DECp16.807,data/tiles/tile_RA1.861_DECp16.807,XE404,3,3,0,
tile_RA1.861_DECp17.807,data/tiles/tile_RA1.861_DECp17.807,XE404,1,1,0,
tile_RA1.861_DECp18.807,data/tiles/tile_RA1.861_DECp18.807,XE404,2,2,0,
tile_RA1.861_DECp19.807,data/tiles/tile_RA1.861_DECp19.807,XE404,1,1,0,
tile_RA1.861_DECp20.807,data/tiles/tile_RA1.861_DECp20.807,XE404,0,0,0,missing survivors csv
tile_RA1.861_DECp48.807,data/tiles/tile_RA1.861_DECp48.807,XE191,1,1,0,
tile_RA1.863_DECp22.807,data/tiles/tile_RA1.863_DECp22.807,XE348,3,3,0,
tile_RA1.863_DECp23.807,data/tiles/tile_RA1.863_DECp23.807,XE348,1,1,0,
tile_RA1.863_DECp24.807,data/tiles/tile_RA1.863_DECp24.807,XE348,1,1,0,
tile_RA1.863_DECp25.807,data/tiles/tile_RA1.863_DECp25.807,XE348,2,2,0,
tile_RA1.863_DECp26.807,data/tiles/tile_RA1.863_DECp26.807,XE348,2,2,0,
tile_RA1.865_DECp28.807,data/tiles/tile_RA1.865_DECp28.807,XE292,2,2,0,
tile_RA1.865_DECp29.807,data/tiles/tile_RA1.865_DECp29.807,XE292,1,1,0,
tile_RA1.865_DECp30.807,data/tiles/tile_RA1.865_DECp30.807,XE292,3,3,0,
tile_RA1.865_DECp31.807,data/tiles/tile_RA1.865_DECp31.807,XE292,0,0,0,missing survivors csv
tile_RA1.865_DECp32.807,data/tiles/tile_RA1.865_DECp32.807,XE292,5,5,0,
tile_RA1.867_DECp34.807,data/tiles/tile_RA1.867_DECp34.807,XE240,4,4,0,
tile_RA1.867_DECp35.807,data/tiles/tile_RA1.867_DECp35.807,XE240,1,1,0,
tile_RA1.867_DECp36.807,data/tiles/tile_RA1.867_DECp36.807,XE240,2,2,0,
tile_RA1.867_DECp37.807,data/tiles/tile_RA1.867_DECp37.807,XE240,1,1,0,
tile_RA1.867_DECp38.807,data/tiles/tile_RA1.867_DECp38.807,XE240,1,1,0,
tile_RA1.869_DECp40.807,data/tiles/tile_RA1.869_DECp40.807,XE192,1,1,0,
tile_RA1.869_DECp41.807,data/tiles/tile_RA1.869_DECp41.807,XE192,1,1,0,
tile_RA1.869_DECp42.807,data/tiles/tile_RA1.869_DECp42.807,XE192,0,0,0,missing survivors csv
tile_RA1.869_DECp43.807,data/tiles/tile_RA1.869_DECp43.807,XE192,2,2,0,
tile_RA1.869_DECp44.807,data/tiles/tile_RA1.869_DECp44.807,XE192,1,1,0,
tile_RA1.872_DECp46.807,data/tiles/tile_RA1.872_DECp46.807,XE149,0,0,0,missing survivors csv
tile_RA1.872_DECp47.807,data/tiles/tile_RA1.872_DECp47.807,XE149,0,0,0,missing survivors csv
tile_RA1.872_DECp48.807,data/tiles/tile_RA1.872_DECp48.807,XE149,1,1,0,
tile_RA1.872_DECp49.807,data/tiles/tile_RA1.872_DECp49.807,XE149,1,1,0,
tile_RA1.872_DECp50.807,data/tiles/tile_RA1.872_DECp50.807,XE149,1,1,0,
tile_RA1.875_DECp52.807,data/tiles/tile_RA1.875_DECp52.807,XE111,0,0,0,missing survivors csv
tile_RA1.875_DECp53.807,data/tiles/tile_RA1.875_DECp53.807,XE111,1,1,0,
tile_RA1.875_DECp54.807,data/tiles/tile_RA1.875_DECp54.807,XE111,0,0,0,missing survivors csv
tile_RA1.875_DECp55.807,data/tiles/tile_RA1.875_DECp55.807,XE111,1,1,0,
tile_RA1.875_DECp56.807,data/tiles/tile_RA1.875_DECp56.807,XE111,0,0,0,missing survivors csv
tile_RA1.880_DECp58.807,data/tiles/tile_RA1.880_DECp58.807,XE078,6,6,0,
tile_RA1.880_DECp59.807,data/tiles/tile_RA1.880_DECp59.807,XE078,1,1,0,
tile_RA1.880_DECp60.807,data/tiles/tile_RA1.880_DECp60.807,XE078,0,0,0,missing survivors csv
tile_RA1.880_DECp61.807,data/tiles/tile_RA1.880_DECp61.807,XE078,0,0,0,missing survivors csv
tile_RA1.880_DECp62.807,data/tiles/tile_RA1.880_DECp62.807,XE078,0,0,0,missing survivors csv
tile_RA1.899_DECp70.807,data/tiles/tile_RA1.899_DECp70.807,XE028,1,1,0,
tile_RA1.899_DECp71.807,data/tiles/tile_RA1.899_DECp71.807,XE028,0,0,0,missing survivors csv
tile_RA1.899_DECp72.807,data/tiles/tile_RA1.899_DECp72.807,XE028,0,0,0,missing survivors csv
tile_RA1.899_DECp73.807,data/tiles/tile_RA1.899_DECp73.807,XE028,0,0,0,missing survivors csv
tile_RA1.899_DECp74.807,data/tiles/tile_RA1.899_DECp74.807,XE028,1,1,0,
tile_RA1.923_DECp76.807,data/tiles/tile_RA1.923_DECp76.807,XE012,1,1,0,
tile_RA1.923_DECp77.807,data/tiles/tile_RA1.923_DECp77.807,XE012,0,0,0,missing survivors csv
tile_RA1.923_DECp78.807,data/tiles/tile_RA1.923_DECp78.807,XE012,1,1,0,
tile_RA1.923_DECp79.807,data/tiles/tile_RA1.923_DECp79.807,XE012,1,1,0,
tile_RA1.923_DECp80.807,data/tiles/tile_RA1.923_DECp80.807,XE012,1,1,0,
tile_RA10.002_DECp18.801,data/tiles/tile_RA10.002_DECp18.801,XE405,2,2,0,
tile_RA10.188_DECp35.799,data/tiles/tile_RA10.188_DECp35.799,XE241,3,3,0,
tile_RA10.188_DECp36.799,data/tiles/tile_RA10.188_DECp36.799,XE241,1,1,0,
tile_RA10.188_DECp37.799,data/tiles/tile_RA10.188_DECp37.799,XE241,1,1,0,
