src_id,ra,dec
tile_RA2.685_DECm24.304:1158,3.0508998278,-24.192107614
tile_RA2.816_DECp5.791:987,3.0825600181,6.1293668879
tile_RA2.816_DECp6.791:744,2.9240485878,7.1856982061
tile_RA2.816_DECp6.791:825,3.0576832235,6.7493272489
tile_RA2.816_DECp6.791:1188,2.9344175951,6.9811517089
tile_RA2.816_DECp7.791:157,2.742719405,7.4160265388
tile_RA2.816_DECp7.791:970,2.7149878087,8.0293763136
tile_RA2.860_DECm4.193:267,2.9601867453,-4.5345630963
tile_RA2.860_DECm4.193:316,2.9881179643,-4.502337386
tile_RA2.860_DECm6.193:536,2.5462707909,-6.3077092318
tile_RA2.860_DECm6.193:757,2.6348726383,-6.090775452
tile_RA2.860_DECm6.193:1259,3.0965935069,-6.0949717701
tile_RA2.875_DECm10.207:819,2.9883135806,-9.8618152014
tile_RA2.875_DECm12.207:202,2.7233766275,-12.5406430294
tile_RA2.875_DECm12.207:266,2.714916752,-12.495570852
tile_RA2.885_DECp12.807:960,2.6990367193,13.0396495647
tile_RA2.885_DECp13.807:425,2.9354281688,13.6468012265
tile_RA2.918_DECp17.807:266,3.0057066985,17.4390665902
tile_RA2.918_DECp17.807:1802,3.4117837992,17.9488797279
tile_RA2.918_DECp17.807:2020,3.2095944068,17.8465260869
tile_RA2.918_DECp18.807:733,3.2912276904,18.6152049794
tile_RA2.918_DECp18.807:1799,3.2492478767,18.9923761724
tile_RA2.918_DECp19.807:1487,3.2134227154,20.1407684475
tile_RA2.965_DECp23.807:1816,2.6230467694,23.9013378863
tile_RA20.324_DECp60.742:9583,19.5016790144,60.6911111395
tile_RA20.350_DECp29.698:1987,20.6906306188,29.7780719965
tile_RA20.350_DECp29.698:2158,20.6643252113,29.6940978169
tile_RA20.384_DECp23.756:1065,20.6336032958,23.6784504816
tile_RA20.384_DECp24.756:1241,20.5530559197,24.7152845969
tile_RA20.384_DECp25.756:1208,20.4194206737,26.1111583875
tile_RA20.584_DECp36.748:514,20.2241816446,36.3749809526
tile_RA20.584_DECp36.748:527,20.2785505623,36.3799517093
tile_RA20.584_DECp36.748:579,20.4396002121,36.3959668096
tile_RA20.584_DECp36.748:1042,20.4004035324,36.5092565189
tile_RA20.584_DECp36.748:1360,20.3344145731,36.5966780797
tile_RA20.584_DECp36.748:2294,20.4007082522,37.0888383661
tile_RA20.584_DECp36.748:2441,20.3338605866,37.0486117809
tile_RA20.584_DECp36.748:2510,20.2220370694,37.0261317569
tile_RA20.584_DECp36.748:2735,20.4368034167,36.9715457664
tile_RA20.584_DECp36.748:2831,20.3123207201,36.9477499815
tile_RA20.584_DECp36.748:2949,20.9166974252,36.9280450537
tile_RA20.584_DECp36.748:3197,20.133324688,36.8482553759
tile_RA20.584_DECp36.748:3224,20.1389764093,36.8424245495
tile_RA20.584_DECp36.748:3384,20.2587902472,36.8044469969
tile_RA20.584_DECp36.748:3417,20.493902372,36.7089477751
tile_RA20.656_DECp47.767:2556,20.7998575722,47.6389034733
tile_RA20.835_DECm5.236:131,20.5575300173,-5.6079322321
tile_RA20.835_DECm6.236:31,20.9762267084,-6.699640387
tile_RA20.835_DECm6.236:1024,21.2542096652,-6.2523287903
tile_RA20.853_DECm11.263:484,21.1939288046,-10.8931735974
tile_RA20.853_DECm11.263:547,20.6643667792,-11.3260191935
tile_RA20.853_DECm11.263:889,20.6386760382,-11.2113330289
tile_RA20.853_DECm12.263:98,21.0933970405,-12.6862552643
tile_RA20.859_DECm0.236:831,20.5933487203,-0.2810766797
