src_id,ra,dec,tile_id,object_id,fwhm_image,fwhm_ratio,spread_model,spreaderr_model,spread_snr,psf_fwhm_median,psf_spread_median,psf_star_count,reject_flag,reject_reason,source_chunk
tile_RA333.855_DECp0.706:1566,333.7853827088,0.9851770662,tile_RA333.855_DECp0.706,1566,3.73152,1.33547,0.0085007,0.000538528,10.1253,2.79416,0.00304797,1120,1,spread_snr=10.1>5.0,stage_S0.csv
tile_RA333.855_DECp0.706:2037,333.8531405614,0.7491489877,tile_RA333.855_DECp0.706,2037,2.593,0.928006,-0.000888766,0.00108301,-3.635,2.79416,0.00304797,1120,0,,stage_S0.csv
tile_RA333.855_DECp0.706:2115,333.9087950633,0.7214655765,tile_RA333.855_DECp0.706,2115,2.76479,0.98949,0.00613027,0.00104878,2.93894,2.79416,0.00304797,1120,0,,stage_S0.csv
tile_RA333.904_DECm5.294:1838,333.994984805,-5.0847899824,tile_RA333.904_DECm5.294,1838,2.58506,0.888421,0.00135087,0.000716903,-2.09625,2.90972,0.00285368,982,0,,stage_S0.csv
tile_RA334.116_DECp66.752:4336,333.3090328861,66.53634676,tile_RA334.116_DECp66.752,4336,2.49692,0.994419,0.000380444,0.000809117,-0.977048,2.51093,0.00117099,4392,0,,stage_S0.csv
tile_RA334.116_DECp66.752:11612,334.9825528415,67.1005270893,tile_RA334.116_DECp66.752,11612,4.62825,1.84324,0.0259308,0.000364868,67.8597,2.51093,0.00117099,4392,1,fwhm_ratio=1.843>1.5;spread_snr=67.9>5.0,stage_S0.csv
tile_RA334.116_DECp67.752:9918,334.2673841558,67.9251866165,tile_RA334.116_DECp67.752,9918,2.99235,1.1776,0.00716453,0.000509039,11.5923,2.54106,0.00126361,4466,1,spread_snr=11.6>5.0,stage_S0.csv
tile_RA334.116_DECp67.752:11178,334.6675819748,68.0233950372,tile_RA334.116_DECp67.752,11178,5.01848,1.97495,0.0273656,0.000552472,47.2457,2.54106,0.00126361,4466,1,fwhm_ratio=1.975>1.5;spread_snr=47.2>5.0,stage_S0.csv
tile_RA334.219_DECp42.704:3152,333.9275878875,42.440443356,tile_RA334.219_DECp42.704,3152,2.27283,0.902917,-0.00113439,0.00130967,-1.52799,2.51721,0.000866761,4849,0,,stage_S0.csv
tile_RA334.260_DECp72.761:3104,333.5991198497,72.6624214173,tile_RA334.260_DECp72.761,3104,2.01822,0.873472,-0.0017129,0.00133248,-1.77514,2.31057,0.000652441,2654,0,,stage_S0.csv
tile_RA334.260_DECp72.761:7150,333.3909813121,73.0723465892,tile_RA334.260_DECp72.761,7150,6.93507,3.00146,0.00495194,0.00172771,2.48855,2.31057,0.000652441,2654,1,fwhm_ratio=3.001>1.5,stage_S0.csv
tile_RA334.260_DECp73.761:2268,333.1453811311,73.529301942,tile_RA334.260_DECp73.761,2268,2.80115,1.20947,0.00513734,0.000350706,14.8273,2.31602,-6.26725e-05,2941,1,spread_snr=14.8>5.0,stage_S0.csv
tile_RA334.260_DECp73.761:2827,334.5291049637,73.6431036901,tile_RA334.260_DECp73.761,2827,3.05544,1.31926,0.0102775,0.00160181,6.45533,2.31602,-6.26725e-05,2941,1,spread_snr=6.5>5.0,stage_S0.csv
tile_RA334.260_DECp73.761:4576,333.0124319588,73.7903483257,tile_RA334.260_DECp73.761,4576,3.61717,1.5618,0.0168479,0.000276978,61.0538,2.31602,-6.26725e-05,2941,1,fwhm_ratio=1.562>1.5;spread_snr=61.1>5.0,stage_S0.csv
tile_RA334.260_DECp73.761:5419,335.2230639613,73.9773034778,tile_RA334.260_DECp73.761,5419,4.2517,1.83578,0.0220663,0.000696135,31.7884,2.31602,-6.26725e-05,2941,1,fwhm_ratio=1.836>1.5;spread_snr=31.8>5.0,stage_S0.csv
