src_id,tile_id,object_id,ra,dec,profile_diff,circularity,area,shape_defect,circle_deviation,shape_confidence,elongation,stars_used,rej_profile_diff,rej_elongation,rej_circularity,reject_flag,reject_reason,shape_failed,failure_reason,source_chunk
tile_RA234.402_DECp66.528:224,tile_RA234.402_DECp66.528,224,234.3694843643,66.1471417687,0.0354592,0.0772662,75.5,0.142857,0.237882,low,1.28099,5,0,1,1,1,elongation=1.281>1.1;circularity=0.077<0.8,0,,stage_S0M_MORPH.csv
tile_RA234.402_DECp67.528:1955,tile_RA234.402_DECp67.528,1955,234.1813489436,67.6457745077,0.0180426,0.839954,11,0.419389,0,low,1.05927,2,0,0,0,0,,0,,stage_S0M_MORPH.csv
tile_RA234.476_DECp22.534:328,tile_RA234.476_DECp22.534,328,234.1161116931,22.2177174292,0.0434141,0.336883,10,0.385254,0.269577,low,1.21743,1,0,1,1,1,elongation=1.217>1.1;circularity=0.337<0.8,0,,stage_S0M_MORPH.csv
tile_RA234.476_DECp23.534:1632,tile_RA234.476_DECp23.534,1632,233.980220413,23.6642822819,0.0230767,0.194969,300,1.03032,0.150989,high,1.06574,1,0,0,1,1,circularity=0.195<0.8,0,,stage_S0M_MORPH.csv
tile_RA234.476_DECp24.534:310,tile_RA234.476_DECp24.534,310,234.6243293178,24.1844047366,0.0171508,0.718683,12,0.222656,0.147493,low,1.00633,1,0,0,1,1,circularity=0.719<0.8,0,,stage_S0M_MORPH.csv
tile_RA234.476_DECp24.534:612,tile_RA234.476_DECp24.534,612,234.0202926846,24.3283845807,0.0145256,0.529109,27.5,0.427083,0.194182,low,1.01422,4,0,0,1,1,circularity=0.529<0.8,0,,stage_S0M_MORPH.csv
tile_RA234.597_DECp16.535:317,tile_RA234.597_DECp16.535,317,234.3102874025,16.1635506603,0.0157347,0.838463,14,0.647461,0.161936,low,1.08955,3,0,0,0,0,,0,,stage_S0M_MORPH.csv
tile_RA234.597_DECp17.535:32,tile_RA234.597_DECp17.535,32,234.5325082505,17.0466751981,0.0101313,0.712654,8.5,0.0890625,0.120492,low,1.17497,2,0,1,1,1,elongation=1.175>1.1;circularity=0.713<0.8,0,,stage_S0M_MORPH.csv
tile_RA234.597_DECp17.535:1170,tile_RA234.597_DECp17.535,1170,234.7422727611,17.951596847,0.0394112,0.774353,12.5,0.0742188,0.125878,low,1.20929,3,0,1,1,1,elongation=1.209>1.1;circularity=0.774<0.8,0,,stage_S0M_MORPH.csv
tile_RA234.616_DECp70.571:572,tile_RA234.616_DECp70.571,572,233.9685031238,70.2910284154,,0.871465,8.5,0.148438,0.0935766,low,1.19535,0,0,1,0,1,elongation=1.195>1.1,0,,stage_S0M_MORPH.csv
tile_RA234.699_DECp10.535:2670,tile_RA234.699_DECp10.535,2670,235.1691205601,10.6633506175,0.078006,0.820202,16,0.148438,0.124187,low,1.1585,8,1,1,0,1,profile_diff=0.0780>0.05;elongation=1.159>1.1,0,,stage_S0M_MORPH.csv
tile_RA234.699_DECp10.535:2952,tile_RA234.699_DECp10.535,2952,235.1779262028,10.5751770396,,0.0960312,169,1.23475,0.199252,high,1.21595,0,0,1,1,1,elongation=1.216>1.1;circularity=0.096<0.8,0,,stage_S0M_MORPH.csv
tile_RA234.699_DECp10.535:3068,tile_RA234.699_DECp10.535,3068,234.9402292594,10.5363566156,0.0282773,0.808518,12,0.578683,0.209716,low,1.23771,7,0,1,0,1,elongation=1.238>1.1,0,,stage_S0M_MORPH.csv
