tile_id,plate_id,run_id,rows_to_S0
tile_RA106.209_DECp59.851,XE087,R1,3
tile_RA106.212_DECp17.818,XE421,R1,1
tile_RA106.215_DECp46.813,XE161,R1,3
tile_RA106.215_DECp48.813,XE161,R1,1
tile_RA106.252_DECp71.803,XE034,R1,1
tile_RA106.252_DECp72.803,XE034,R1,1
tile_RA106.305_DECp27.789,XE308,R1,1
tile_RA106.305_DECp28.789,XE308,R1,1
tile_RA106.305_DECp31.789,XE308,R1,2
tile_RA106.991_DECp0.705,XE541,R1,2
tile_RA106.991_DECp1.705,XE541,R1,4
tile_RA106.991_DECp2.705,XE541,R1,6
tile_RA106.991_DECp3.705,XE541,R1,1
tile_RA107.197_DECp77.932,XE016,R1,2
tile_RA107.295_DECp23.790,XE364,R1,1
tile_RA107.418_DECp33.775,XE255,R1,2
tile_RA107.418_DECp35.775,XE255,R1,1
tile_RA107.418_DECp36.775,XE255,R1,2
tile_RA107.418_DECp37.775,XE255,R1,1
tile_RA107.421_DECp51.778,XE122,R1,5
tile_RA107.421_DECp53.778,XE122,R1,2
tile_RA107.421_DECp54.778,XE122,R1,2
tile_RA107.457_DECp29.789,XE308,R1,4
tile_RA107.457_DECp30.789,XE308,R1,2
tile_RA107.512_DECp39.731,XE206,R1,1
tile_RA107.512_DECp40.731,XE206,R1,1
tile_RA107.512_DECp41.731,XE206,R1,1
tile_RA107.512_DECp42.731,XE206,R1,1
tile_RA107.593_DECp63.780,XE058,R1,1
tile_RA107.593_DECp64.780,XE058,R1,2
tile_RA107.593_DECp65.780,XE058,R1,2
tile_RA107.593_DECp67.780,XE058,R1,1
tile_RA107.704_DECp47.813,XE161,R1,1
tile_RA107.763_DECm6.261,XE662,R1,6
tile_RA107.855_DECm0.262,XE602,R1,2
tile_RA107.974_DECp11.737,XE482,R1,2
tile_RA107.992_DECp1.705,XE541,R1,2
tile_RA107.992_DECp2.705,XE541,R1,2
tile_RA108.388_DECp23.790,XE364,R1,2
tile_RA108.609_DECp29.789,XE308,R1,1
tile_RA108.769_DECm6.261,XE662,R1,2
tile_RA108.769_DECm7.261,XE662,R1,1
tile_RA108.855_DECm0.262,XE602,R1,2
tile_RA108.855_DECm1.262,XE602,R1,3
tile_RA108.993_DECp2.705,XE541,R1,2
tile_RA108.996_DECp10.737,XE482,R1,2
tile_RA108.996_DECp11.737,XE482,R1,1
tile_RA109.053_DECp16.736,XE422,R1,1
tile_RA109.053_DECp18.736,XE422,R1,2
tile_RA109.113_DECp52.778,XE122,R1,1
tile_RA109.185_DECp59.703,XE088,R1,4
tile_RA109.455_DECp71.803,XE034,R1,1
tile_RA109.775_DECm8.261,XE662,R1,2
tile_RA109.855_DECm2.262,XE602,R1,3
tile_RA109.855_DECp0.738,XE602,R1,1
tile_RA11.105_DECp61.789,XE079,R1,1
tile_RA11.437_DECp36.799,XE241,R1,1
tile_RA11.563_DECp52.794,XE112,R1,1
tile_RA11.563_DECp53.794,XE112,R1,2
tile_RA11.563_DECp56.794,XE112,R1,1
tile_RA11.789_DECm11.233,XE706,R1,1
tile_RA11.831_DECm5.213,XE646,R1,5
tile_RA11.846_DECp12.787,XE466,R1,1
tile_RA11.858_DECp0.787,XE586,R1,5
tile_RA11.863_DECp6.787,XE526,R1,1
tile_RA110.017_DECp10.737,XE482,R1,2
tile_RA110.017_DECp11.737,XE482,R1,4
tile_RA110.017_DECp12.737,XE482,R1,3
tile_RA110.017_DECp13.737,XE482,R1,1
tile_RA110.017_DECp9.737,XE482,R1,1
tile_RA110.030_DECp64.780,XE058,R1,1
tile_RA110.030_DECp66.780,XE058,R1,2
tile_RA110.103_DECp15.736,XE422,R1,1
tile_RA110.103_DECp17.736,XE422,R1,1
tile_RA110.192_DECp41.731,XE206,R1,1
tile_RA110.213_DECp47.700,XE162,R1,2
tile_RA110.485_DECp29.702,XE309,R1,1
tile_RA110.781_DECm5.261,XE662,R1,1
tile_RA110.837_DECp77.626,XE017,R1,1
tile_RA110.837_DECp78.626,XE017,R1,1
tile_RA110.855_DECp0.738,XE602,R1,4
tile_RA110.940_DECp5.738,XE542,R1,1
tile_RA111.039_DECp11.737,XE482,R1,4
tile_RA111.153_DECp16.736,XE422,R1,2
tile_RA111.153_DECp17.736,XE422,R1,3
tile_RA111.153_DECp18.736,XE422,R1,2
tile_RA111.167_DECp59.703,XE088,R1,1
tile_RA111.167_DECp60.703,XE088,R1,1
tile_RA111.597_DECp22.703,XE365,R1,1
tile_RA111.597_DECp24.703,XE365,R1,2
tile_RA111.636_DECp28.702,XE309,R1,1
tile_RA111.636_DECp29.702,XE309,R1,1
tile_RA111.699_DECp46.700,XE162,R1,1
tile_RA111.699_DECp47.700,XE162,R1,3
tile_RA111.699_DECp48.700,XE162,R1,2
tile_RA111.855_DECm0.262,XE602,R1,2
tile_RA111.931_DECp35.682,XE256,R1,2
tile_RA111.945_DECp5.738,XE542,R1,3
tile_RA111.994_DECp83.636,XE005,R1,2
tile_RA111.994_DECp84.636,XE005,R1,2
tile_RA111.994_DECp85.636,XE005,R1,2
tile_RA112.060_DECp11.737,XE482,R1,1
tile_RA112.468_DECp65.780,XE058,R1,2
tile_RA112.657_DECp71.803,XE034,R1,3
tile_RA112.657_DECp72.803,XE034,R1,1
tile_RA112.689_DECp21.703,XE365,R1,2
tile_RA112.689_DECp22.703,XE365,R1,1
tile_RA112.689_DECp25.703,XE365,R1,1
tile_RA112.787_DECp27.702,XE309,R1,2
tile_RA112.787_DECp28.702,XE309,R1,3
tile_RA112.787_DECp29.702,XE309,R1,2
tile_RA112.787_DECp30.702,XE309,R1,1
